midiPitch 	 onsetSec 	 durationSec 	 onsetBeats 	 onsetBarIndex 	 onsetBar 	 durationBeats 	 velocity  	 numerator 	 denominator 
59	0.191565	0.19737	0	0	0	0	1	4	4
55	0.505034	0.0522448	0	0	0	0	1	4	4
62	0.586304	0.121905	0	0	0	0	1	4	4
55	0.719819	0.17415	0	0	0	0	1	4	4
53	0.998458	0.0928798	0	0	0	0	1	4	4
53	1.24227	0.278639	0	0	0	0	1	4	4
55	1.52671	0.0928799	0	0	0	0	1	4	4
56	1.77633	0.0348299	0	0	0	0	1	4	4
60	1.83438	0.417959	0	0	0	0	1	4	4
55	2.322	0.12771	0	0	0	0	1	4	4
48	2.85605	0.156735	0	0	0	0	1	4	4
48	3.10567	0.168345	0	0	0	0	1	4	4
55	3.3785	0.354104	0	0	0	0	1	4	4
57	3.88354	0.952018	0	0	0	0	1	4	4
53	4.99229	0.110295	0	0	0	0	1	4	4
62	5.64245	0.0290251	0	0	0	0	1	4	4
62	5.67728	0.110295	0	0	0	0	1	4	4
64	6.03719	1.02168	0	0	0	0	1	4	4
60	7.11111	0.267029	0	0	0	0	1	4	4
64	7.80771	0.145124	0	0	0	0	1	4	4
65	8.19084	0.29025	0	0	0	0	1	4	4
62	9.03256	0.145124	0	0	0	0	1	4	4
55	9.34023	0.38313	0	0	0	0	1	4	4
62	9.96716	0.22059	0	0	0	0	1	4	4
60	10.3735	0.354105	0	0	0	0	1	4	4
60	11.9989	0.0290251	0	0	0	0	1	4	4
60	12.0337	0.0754652	0	0	0	0	1	4	4
62	12.1498	0.168344	0	0	0	0	1	4	4
62	12.4285	0.3483	0	0	0	0	1	4	4
52	13.1193	0.150929	0	0	0	0	1	4	4
62	13.7462	0.0580502	0	0	0	0	1	4	4
65	13.8855	0.10449	0	0	0	0	1	4	4
65	13.99	0.121904	0	0	0	0	1	4	4
65	14.1119	0.156734	0	0	0	0	1	4	4
65	14.2687	0.0580502	0	0	0	0	1	4	4
65	14.437	0.0406342	0	0	0	0	1	4	4
65	14.4834	0.1161	0	0	0	0	1	4	4
64	14.6634	0.15093	0	0	0	0	1	4	4
60	14.9653	0.0290251	0	0	0	0	1	4	4
60	15.1917	0.0348301	0	0	0	0	1	4	4
60	15.3194	0.145125	0	0	0	0	1	4	4
60	15.9985	0.0406342	0	0	0	0	1	4	4
60	16.2307	0.110296	0	0	0	0	1	4	4
60	16.341	0.220589	0	0	0	0	1	4	4
62	16.7938	0.0870743	0	0	0	0	1	4	4
59	17.0609	0.0812702	0	0	0	0	1	4	4
50	17.7226	0.0638561	0	0	0	0	1	4	4
62	17.9839	0.0406361	0	0	0	0	1	4	4
59	18.1	0.0232201	0	0	0	0	1	4	4
59	18.129	0.0406361	0	0	0	0	1	4	4
58	18.1696	0.0232201	0	0	0	0	1	4	4
58	18.2219	0.0754642	0	0	0	0	1	4	4
59	18.2973	0.1161	0	0	0	0	1	4	4
62	18.5702	0.0696602	0	0	0	0	1	4	4
60	18.8894	0.0464401	0	0	0	0	1	4	4
60	18.9359	0.0290241	0	0	0	0	1	4	4
60	18.9649	0.1161	0	0	0	0	1	4	4
55	19.3132	0.15093	0	0	0	0	1	4	4
67	19.5802	0.0348301	0	0	0	0	1	4	4
55	19.6034	0.01161	0	0	0	0	1	4	4
67	19.5802	0.0406342	0	0	0	0	1	4	4
55	19.6034	0.0174141	0	0	0	0	1	4	4
67	19.5802	0.0464401	0	0	0	0	1	4	4
55	19.6034	0.0232201	0	0	0	0	1	4	4
67	19.5802	0.0522442	0	0	0	0	1	4	4
55	19.6034	0.0290241	0	0	0	0	1	4	4
67	19.5802	0.0580502	0	0	0	0	1	4	4
55	19.6034	0.0348301	0	0	0	0	1	4	4
67	19.5802	0.0638542	0	0	0	0	1	4	4
55	19.6034	0.0406342	0	0	0	0	1	4	4
67	19.5802	0.0696602	0	0	0	0	1	4	4
55	19.6034	0.0464401	0	0	0	0	1	4	4
67	19.5802	0.0754642	0	0	0	0	1	4	4
55	19.6034	0.0522442	0	0	0	0	1	4	4
67	19.5802	0.0812702	0	0	0	0	1	4	4
55	19.6034	0.0580502	0	0	0	0	1	4	4
67	19.5802	0.0870743	0	0	0	0	1	4	4
55	19.6034	0.145124	0	0	0	0	1	4	4
57	19.9982	0.110294	0	0	0	0	1	4	4
55	20.6542	0.0348301	0	0	0	0	1	4	4
55	20.689	0.0812683	0	0	0	0	1	4	4
54	21.0141	0.0232201	0	0	0	0	1	4	4
57	21.0663	0.661768	0	0	0	0	1	4	4
53	21.7281	0.249615	0	0	0	0	1	4	4
63	22.3782	0.145124	0	0	0	0	1	4	4
60	22.5988	0.232201	0	0	0	0	1	4	4
64	23.1445	0.766258	0	0	0	0	1	4	4
60	23.9224	0.238005	0	0	0	0	1	4	4
60	24.7641	0.104488	0	0	0	0	1	4	4
62	24.8686	0.0348301	0	0	0	0	1	4	4
64	24.9092	0.0870743	0	0	0	0	1	4	4
62	25.0311	0.110294	0	0	0	0	1	4	4
65	25.3097	0.267031	0	0	0	0	1	4	4
62	26.1166	0.162539	0	0	0	0	1	4	4
55	26.6507	0.133516	0	0	0	0	1	4	4
62	26.97	0.307665	0	0	0	0	1	4	4
62	27.2776	0.0290241	0	0	0	0	1	4	4
60	27.3183	0.156734	0	0	0	0	1	4	4
60	27.5795	0.348299	0	0	0	0	1	4	4
