midiPitch 	 onsetSec 	 durationSec 	 onsetBeats 	 onsetBarIndex 	 onsetBar 	 durationBeats 	 velocity  	 numerator 	 denominator 
63	4.76009	0.203175	0	0	2.76445e-035	0	1	4	4
63	4.96327	0.249614	0	0	2.76445e-035	0	1	4	4
62	5.21288	0.133515	0	0	2.76445e-035	0	1	4	4
54	6.61188	0.10449	0	0	2.76445e-035	0	1	4	4
59	6.7454	0.179955	0	0	2.76445e-035	0	1	4	4
65	6.92535	0.12771	0	0	2.76445e-035	0	1	4	4
64	7.05306	0.19737	0	0	2.76445e-035	0	1	4	4
64	7.25043	0.110295	0	0	2.76445e-035	0	1	4	4
64	7.95864	0.203175	0	0	2.76445e-035	0	1	4	4
64	8.16181	0.19737	0	0	2.76445e-035	0	1	4	4
63	8.35918	0.0812702	0	0	2.76445e-035	0	1	4	4
57	9.02676	0.156734	0	0	2.76445e-035	0	1	4	4
64	9.32862	0.168345	0	0	2.76445e-035	0	1	4	4
